,TV,radio,newspaper,actual sales,predicted sales
151,280.7,13.9,37.0,16.1,18.300173850025175
129,220.3,49.0,3.2,24.7,22.16670037467656
32,112.9,17.4,38.6,11.9,11.38712445879146
25,62.3,12.6,18.3,9.7,8.266922335551765
199,283.6,42.0,66.2,25.5,23.569429352553243
73,26.8,33.0,19.3,8.8,10.446864486904966
31,292.9,28.3,43.2,21.4,21.503992620117614
8,120.2,19.6,11.6,13.2,12.188384297477066
198,177.0,9.3,6.4,12.8,12.850006845109295
119,125.7,36.9,79.2,15.9,15.480904433645389
79,5.4,29.9,9.4,5.3,8.932075775811654
193,17.2,4.1,31.6,5.9,4.62814680073277
100,135.2,41.7,45.9,17.2,16.87827681920569
4,151.5,41.3,58.5,18.5,17.508132291682237
154,171.3,39.7,37.7,19.0,18.153199720381494
133,8.4,27.2,2.1,5.7,8.584216928332001
169,215.4,23.6,57.6,17.1,17.10759838733327
56,198.9,49.4,60.0,23.7,21.140912384665484
170,284.3,10.6,6.4,15.0,17.92393092530643
58,136.2,19.2,16.6,13.2,12.822930140278398
37,266.9,43.8,5.0,25.4,23.29746141760269
168,206.8,5.2,19.4,12.2,13.401138936886264
137,25.6,39.0,9.3,9.5,11.528916379618861
72,109.8,14.3,31.7,12.4,10.689410747481027
81,76.4,26.7,22.3,11.8,11.505981755969636
46,175.1,22.5,31.5,14.9,15.151042081448674
44,206.9,8.4,26.4,12.9,13.982024337268674
34,265.6,20.0,0.3,17.4,18.838633501638157
111,225.8,8.2,56.5,13.4,14.724145100974939
160,131.7,18.4,34.6,12.9,12.42884444344248
122,18.8,21.7,50.4,7.0,7.917493792018962
195,149.7,35.6,6.0,17.3,16.496257652057167
127,7.8,38.9,50.6,6.6,10.609722944008205
126,87.2,11.8,25.9,10.6,9.221967293612861
113,175.7,15.4,2.4,14.1,13.931719768214153
110,255.4,26.9,5.5,19.8,19.645728390242702
66,69.0,9.3,0.9,9.3,7.998692759972613
78,120.5,28.5,14.2,14.2,13.845359610168495
174,168.4,7.1,12.8,11.7,12.039532256543644
106,137.9,46.4,59.0,19.2,17.83969773753344
